iter	Passed	Remaining
0	10	5088
1	21	5321
2	34	5770
3	49	6165
4	63	6325
5	77	6365
6	89	6333
7	102	6308
8	115	6305
9	128	6287
10	140	6262
11	153	6233
12	167	6275
13	180	6278
14	209	6783
15	223	6749
16	236	6719
17	250	6698
18	263	6667
19	276	6647
20	290	6621
21	303	6591
22	316	6570
23	330	6552
24	343	6526
25	357	6515
26	370	6495
27	384	6477
28	397	6463
29	411	6444
30	424	6421
31	437	6396
32	451	6388
33	464	6364
34	477	6338
35	489	6312
36	502	6283
37	514	6255
38	526	6228
39	539	6205
40	551	6178
41	564	6151
42	576	6129
43	590	6116
44	603	6099
45	616	6082
46	628	6062
47	641	6042
48	654	6021
49	667	6004
50	680	5989
51	692	5967
52	705	5948
53	718	5934
54	731	5919
55	744	5901
56	756	5882
57	769	5867
58	783	5855
59	796	5841
60	810	5829
61	823	5816
62	836	5800
63	849	5786
64	862	5774
65	876	5765
66	889	5751
67	903	5739
68	917	5728
69	930	5716
70	943	5702
71	960	5712
72	973	5695
73	983	5660
74	996	5648
75	1010	5635
76	1023	5623
77	1037	5610
78	1049	5594
79	1063	5581
80	1075	5565
81	1088	5547
82	1100	5529
83	1113	5513
84	1125	5497
85	1138	5480
86	1151	5466
87	1165	5458
88	1180	5449
89	1188	5416
90	1201	5401
91	1214	5386
92	1227	5370
93	1239	5354
94	1252	5341
95	1265	5324
96	1278	5309
97	1291	5297
98	1305	5286
99	1318	5273
100	1327	5244
101	1340	5229
102	1353	5218
103	1367	5206
104	1381	5196
105	1395	5186
106	1404	5160
107	1419	5150
108	1433	5140
109	1443	5117
110	1457	5106
111	1471	5096
112	1485	5086
113	1498	5075
114	1513	5067
115	1527	5057
116	1542	5048
117	1555	5037
118	1570	5027
119	1584	5016
120	1597	5004
121	1612	4996
122	1626	4984
123	1640	4973
124	1653	4959
125	1666	4945
126	1680	4935
127	1694	4923
128	1707	4909
129	1720	4898
130	1735	4889
131	1750	4879
132	1764	4869
133	1779	4859
134	1792	4846
135	1807	4837
136	1821	4825
137	1835	4815
138	1849	4803
139	1863	4792
140	1877	4780
141	1891	4768
142	1905	4757
143	1919	4744
144	1933	4733
145	1946	4719
146	1959	4705
147	1972	4690
148	1984	4673
149	1996	4657
150	2009	4644
151	2022	4631
152	2035	4616
153	2049	4604
154	2062	4590
155	2074	4575
156	2088	4562
157	2101	4548
158	2110	4525
159	2124	4513
160	2137	4499
161	2150	4486
162	2163	4472
163	2176	4460
164	2189	4445
165	2202	4431
166	2215	4418
167	2228	4403
168	2241	4390
169	2254	4376
170	2267	4362
171	2280	4348
172	2293	4334
173	2307	4323
174	2320	4309
175	2333	4295
176	2346	4281
177	2359	4267
178	2372	4254
179	2385	4241
180	2399	4229
181	2413	4216
182	2426	4202
183	2439	4189
184	2452	4176
185	2466	4163
186	2479	4150
187	2492	4136
188	2506	4123
189	2519	4110
190	2532	4097
191	2546	4084
192	2559	4071
193	2573	4058
194	2585	4044
195	2598	4030
196	2611	4015
197	2624	4002
198	2637	3989
199	2650	3976
200	2665	3964
201	2678	3951
202	2690	3936
203	2704	3924
204	2718	3911
205	2731	3898
206	2745	3886
207	2759	3874
208	2773	3861
209	2787	3848
210	2801	3836
211	2816	3826
212	2830	3813
213	2845	3802
214	2858	3789
215	2872	3777
216	2886	3764
217	2900	3751
218	2913	3738
219	2926	3724
220	2939	3710
221	2952	3697
222	2965	3683
223	2978	3669
224	2991	3655
225	3003	3641
226	3015	3627
227	3027	3612
228	3040	3598
229	3052	3583
230	3066	3570
231	3078	3556
232	3091	3542
233	3104	3528
234	3116	3514
235	3128	3500
236	3141	3486
237	3154	3472
238	3168	3460
239	3182	3447
240	3196	3435
241	3211	3424
242	3226	3411
243	3240	3399
244	3253	3386
245	3267	3374
246	3281	3361
247	3295	3348
248	3309	3335
249	3323	3323
250	3337	3310
251	3351	3298
252	3365	3285
253	3378	3272
254	3391	3258
255	3403	3244
256	3416	3230
257	3431	3218
258	3444	3204
259	3456	3190
260	3469	3176
261	3482	3163
262	3495	3149
263	3507	3135
264	3520	3121
265	3533	3108
266	3546	3094
267	3559	3081
268	3571	3067
269	3585	3053
270	3598	3040
271	3610	3026
272	3622	3012
273	3635	2998
274	3649	2986
275	3662	2972
276	3675	2959
277	3704	2957
278	3717	2944
279	3730	2931
280	3743	2917
281	3756	2903
282	3770	2891
283	3783	2877
284	3796	2863
285	3808	2849
286	3821	2836
287	3834	2822
288	3848	2809
289	3861	2795
290	3873	2782
291	3886	2768
292	3899	2754
293	3911	2741
294	3924	2727
295	3937	2714
296	3950	2700
297	3963	2686
298	3976	2673
299	3989	2659
300	4004	2647
301	4017	2634
302	4030	2620
303	4045	2608
304	4058	2595
305	4073	2582
306	4086	2569
307	4099	2555
308	4113	2542
309	4126	2528
310	4139	2515
311	4151	2501
312	4164	2488
313	4178	2474
314	4191	2461
315	4204	2448
316	4217	2434
317	4231	2421
318	4243	2407
319	4257	2395
320	4271	2381
321	4284	2368
